"","tweet_date","country","n","n_covid"
"1",2020-01-01,"AFG",324,0
"2",2020-01-01,"AGO",1102,0
"3",2020-01-01,"ALA",7,0
"4",2020-01-01,"ALB",343,0
"5",2020-01-01,"AND",216,0
"6",2020-01-01,"ARE",19464,2
"7",2020-01-01,"ARG",103368,14
"8",2020-01-01,"ARM",157,0
"9",2020-01-01,"ATG",25,0
"10",2020-01-01,"AUS",27625,4
"11",2020-01-01,"AUT",3596,0
"12",2020-01-01,"AZE",1004,0
"13",2020-01-01,"BDI",11,0
"14",2020-01-01,"BEL",7942,0
"15",2020-01-01,"BEN",456,0
"16",2020-01-01,"BES",12,0
"17",2020-01-01,"BFA",124,0
"18",2020-01-01,"BGD",2426,0
"19",2020-01-01,"BGR",940,0
"20",2020-01-01,"BHR",5695,0
"21",2020-01-01,"BHS",102,0
"22",2020-01-01,"BIH",1402,0
"23",2020-01-01,"BLR",1610,0
"24",2020-01-01,"BLZ",199,0
"25",2020-01-01,"BMU",16,0
"26",2020-01-01,"BOL",1214,0
"27",2020-01-01,"BRA",556734,146
"28",2020-01-01,"BRB",1245,0
"29",2020-01-01,"BRN",400,0
"30",2020-01-01,"BTN",50,0
"31",2020-01-01,"BWA",2299,0
"32",2020-01-01,"CAF",18,0
"33",2020-01-01,"CAN",54804,6
"34",2020-01-01,"CHE",4403,0
"35",2020-01-01,"CHL",30989,5
"36",2020-01-01,"CHN",8692,4
"37",2020-01-01,"CIV",1975,0
"38",2020-01-01,"CMR",2605,1
"39",2020-01-01,"COD",1021,2
"40",2020-01-01,"COG",123,0
"41",2020-01-01,"COL",48085,14
"42",2020-01-01,"COM",1,0
"43",2020-01-01,"CPV",17,0
"44",2020-01-01,"CRI",4209,0
"45",2020-01-01,"CUB",714,0
"46",2020-01-01,"CYM",35,0
"47",2020-01-01,"CYP",1409,0
"48",2020-01-01,"CZE",2807,0
"49",2020-01-01,"DEU",29197,1
"50",2020-01-01,"DJI",58,0
"51",2020-01-01,"DMA",170,0
"52",2020-01-01,"DNK",2529,1
"53",2020-01-01,"DOM",7275,1
"54",2020-01-01,"DZA",2156,0
"55",2020-01-01,"ECU",7483,1
"56",2020-01-01,"EGY",32856,6
"57",2020-01-01,"ERI",7,0
"58",2020-01-01,"ESH",26,0
"59",2020-01-01,"ESP",87904,28
"60",2020-01-01,"EST",262,0
"61",2020-01-01,"ETH",307,0
"62",2020-01-01,"FIN",2814,1
"63",2020-01-01,"FJI",20,0
"64",2020-01-01,"FRA",58572,7
"65",2020-01-01,"FRO",2,0
"66",2020-01-01,"FSM",1,0
"67",2020-01-01,"GAB",168,0
"68",2020-01-01,"GBR",224974,29
"69",2020-01-01,"GEO",492,0
"70",2020-01-01,"GGY",209,0
"71",2020-01-01,"GHA",16586,1
"72",2020-01-01,"GIN",21,0
"73",2020-01-01,"GLP",25,0
"74",2020-01-01,"GMB",299,0
"75",2020-01-01,"GNB",37,0
"76",2020-01-01,"GNQ",5,0
"77",2020-01-01,"GRC",2353,1
"78",2020-01-01,"GRD",19,0
"79",2020-01-01,"GRL",30,0
"80",2020-01-01,"GTM",4624,1
"81",2020-01-01,"GUF",174,0
"82",2020-01-01,"GUM",353,0
"83",2020-01-01,"GUY",166,0
"84",2020-01-01,"HKG",2348,0
"85",2020-01-01,"HND",3265,0
"86",2020-01-01,"HRV",101,0
"87",2020-01-01,"HTI",116,0
"88",2020-01-01,"HUN",1713,1
"89",2020-01-01,"IDN",158644,14
"90",2020-01-01,"IMN",351,0
"91",2020-01-01,"IND",129501,7
"92",2020-01-01,"IRL",15185,1
"93",2020-01-01,"IRN",4491,0
"94",2020-01-01,"IRQ",6777,1
"95",2020-01-01,"ISL",664,0
"96",2020-01-01,"ISR",6183,1
"97",2020-01-01,"ITA",31770,7
"98",2020-01-01,"JAM",5569,1
"99",2020-01-01,"JEY",479,0
"100",2020-01-01,"JOR",3820,0
"101",2020-01-01,"JPN",281971,8
"102",2020-01-01,"KAZ",770,0
"103",2020-01-01,"KEN",14506,0
"104",2020-01-01,"KGZ",241,0
"105",2020-01-01,"KHM",702,0
"106",2020-01-01,"KNA",10,0
