iso3,country,continent,min_senti_bert,drop_senti_bert,averageN,Quality,HalfLife,mType,model,r-squared,sd_position_half,sd_position_525,sd_position_final,sse,u,v,gama,a,b
AFG,Afghanistan,Asia,3/13/2020,3/10/2020,448.2565789,1,4.307937638,1,normal,0.530659641,-1.381698235,1.202479251,1.202520207,11.32949941,0.321366652,-2.068654794,0.160898164,,
AGO,Angola,Africa,3/23/2020,3/11/2020,817.0131579,1,8.232004711,1,normal,0.864917967,-1.175383014,2.366321557,2.403119703,3.774892215,0.749273832,-2.467579795,0.083575312,,
ALB,Albania,Europe,3/25/2020,3/7/2020,288.1381579,0,1.615676549,1,normal,0.167487052,0.022071991,0.477904093,0.477904093,3.306853238,0.181758323,-0.672536313,0.42901358,,
ARE,United Arab Emirates,Asia,3/15/2020,3/7/2020,17878.04605,0,24.96187734,1,normal,0.85399463,-1.689644335,1.106332191,3.309979469,12.89049276,2.558267678,-4.873227308,0.017795009,,
ARG,Argentina,South America,3/16/2020,3/10/2020,104898.3026,1,16.80784184,1,normal,0.97987991,-2.098398255,2.508764434,3.261246685,5.506462448,2.859357395,-7.893077304,0.036909117,,
AUS,Australia,Oceania,3/15/2020,3/1/2020,25690.21711,1,13.34196662,1,normal,0.800751033,-1.015030117,1.726654218,1.891210888,5.888815629,1.328801886,-4.15061199,0.049799839,,
AUT,Austria,Europe,3/14/2020,3/8/2020,2763.368421,1,8.335538051,1,normal,0.922762303,-3.503582807,-0.55589176,-0.540720077,10.58550247,0.259101379,-3.487803557,0.082848112,,
AZE,Azerbaijan,Europe,4/1/2020,3/9/2020,1230.565789,0,18.55559471,1,normal,0.762128486,-0.541385264,0.950127691,2.007055282,5.991707093,1.275441236,-2.267038864,0.02483087,,
BEL,Belgium,Europe,3/13/2020,2/26/2020,8369.210526,1,12.48379609,1,normal,1.0269943,-1.621459829,1.749211825,1.882827154,11.48089732,1.228869659,-4.499859525,0.053981862,,
BEN,Benin,Africa,3/3/2020,3/11/2020,352.2894737,0,31.85577103,1,normal,0.838583707,0.886853736,4.446136438,8.828665727,15.1797767,3.332187707,-4.771011586,0.011624292,,
BGD,Bangladesh,Asia,3/22/2020,3/11/2020,2331.815789,0,3.239046116,1,normal,0.266131985,-1.998982242,-1.542917011,-1.542915983,2.293727477,-0.41893343,-0.618601699,0.21399697,,
BGR,Bulgaria,Europe,3/12/2020,3/7/2020,748.9144737,1,3.790955791,1,normal,0.553429543,-2.861880084,-0.659591333,-0.659585475,6.54755897,-0.004727225,-2.130187361,0.182841977,,
BHR,Bahrain,Asia,3/13/2020,3/6/2020,5066.736842,0,36.5,3,normal,0.83932064,2.850566262,7.743902085,,23.93377503,,,,0.054112453,-1.419932371
BIH,Bosnia and Herzegovina,Europe,3/21/2020,3/8/2020,1619.625,1,8.635048344,1,normal,0.778622362,-2.459111263,-0.357033529,-0.333123222,7.198603459,0.281402842,-2.435571915,0.079618312,,
BLR,Belarus,Europe,3/17/2020,3/10/2020,1555.065789,1,20.68840998,1,normal,1.047453846,-1.042457738,0.968945175,1.762754181,4.137936947,1.082913877,-2.735803233,0.026130199,,
BOL,Bolivia,South America,3/13/2020,3/10/2020,1385.440789,1,11.7964188,1,normal,0.846158923,-2.500400555,-0.420001131,-0.356466768,16.66456152,0.366162178,-3.419441927,0.057493641,,
BRA,Brazil,South America,3/15/2020,3/11/2020,678970.4803,1,14.34917742,1,normal,1.101834613,-0.199892766,2.490450838,2.709875504,64.40193417,2.301439088,-6.079409942,0.045627224,,
BRB,Barbados,North America,4/2/2020,3/10/2020,1477.046053,0,1.122391905,1,normal,0.018265421,-3.092114728,-2.719809801,-2.719809801,4.784838871,-0.438973143,-0.260338307,0.617562526,,
BRN,Brunei Darussalam,Asia,3/13/2020,3/8/2020,383.0197368,1,4.587968321,1,normal,0.37991901,-0.368099362,1.014178445,1.014223319,10.53863251,0.376515325,-1.504164996,0.151075792,,
BWA,Botswana,Africa,3/25/2020,3/14/2020,3500.532895,1,12.0791269,1,normal,1.064810044,0.075823967,2.875094921,3.084808146,5.350040219,1.369249738,-3.11728198,0.054447451,,
CAN,Canada,North America,3/14/2020,3/8/2020,54848.81579,1,6.385012661,1,normal,0.966831073,-1.361132944,0.663420641,0.665061161,4.895644009,0.523197899,-3.09188198,0.10849505,,
CHE,Switzerland,Europe,3/15/2020,2/23/2020,4273.559211,1,8.937398041,1,normal,0.886165155,-3.918080535,-1.459306564,-1.438576445,5.3363626,0.109091113,-2.950926853,0.077087103,,
CHL,Chile,South America,3/18/2020,3/11/2020,31548.21711,1,7.344961599,1,normal,0.753107277,-3.435715908,-0.37164929,-0.361468956,14.23086059,0.45101049,-4.664444091,0.094144817,,
CHN,China,Asia,1/29/2020,1/20/2020,295819.2171,1,14.65749618,1,normal,0.775435687,-0.463719974,1.064828281,1.07736893,14.26998201,0.810450178,-3.797916219,0.047011448,,
CIV,"Cote d'Ivoire, Republic of",Africa,3/16/2020,3/10/2020,2050.934211,0,27.34934613,1,normal,0.848720363,0.239498899,2.335604891,5.190809489,4.611928725,3.305623331,-4.672110187,0.012907394,,
CMR,Cameroon,Africa,3/20/2020,3/11/2020,3068.394737,1,21.40161703,1,normal,0.939509736,-0.72949606,2.333944042,4.01248839,10.70194071,2.133446701,-4.076242667,0.023286242,,
COD,Democratic Republic of the Congo,Africa,3/20/2020,3/9/2020,1116.348684,1,19.42661784,1,normal,0.686444561,-0.111028798,1.550520899,2.158757791,12.37482653,1.42202608,-2.792203624,0.028275307,,
COL,Colombia,South America,3/16/2020,3/8/2020,48681.90132,1,11.06583004,1,normal,0.98674378,-3.015288868,-0.529989996,-0.461576141,6.276017335,0.576650213,-5.452722575,0.061419855,,
CRI,Costa Rica,North America,3/11/2020,3/5/2020,3712.230263,0,29.37394702,1,normal,0.853244987,-1.151581093,0.239174229,2.160464637,14.89879654,2.269846024,-3.955486373,0.011935483,,
CUB,Cuba,North America,3/20/2020,3/9/2020,915.6315789,1,24.48992242,1,normal,0.824674306,-2.121376106,1.040719067,4.291289791,6.539112908,2.253560661,-4.104896375,0.016368182,,
CYP,Cyprus,Europe,3/12/2020,3/8/2020,1498.519737,1,11.30713899,1,normal,0.835976735,-0.611429267,2.020740939,2.082247696,14.05047779,0.958014626,-3.168625349,0.060286217,,
CZE,Czech Republic,Europe,3/13/2020,3/7/2020,2400.453947,1,3.865056852,1,normal,0.366128747,-3.612924749,-1.782745721,-1.782738171,18.122818,-0.221507378,-1.940066466,0.179336332,,
DEU,Germany,Europe,3/14/2020,2/25/2020,27409.25658,1,11.75587381,1,normal,0.992279302,-4.355955142,0.170900951,0.316003026,11.68633263,0.960273313,-4.847978274,0.05763045,,
DNK,Denmark,Europe,3/12/2020,3/4/2020,2310.453947,1,7.919498908,1,normal,0.909568866,-2.946321268,-0.919412617,-0.913073308,2.890961049,0.031001303,-2.42760362,0.087327123,,
DOM,Dominican Republic,North America,3/21/2020,3/8/2020,8684.940789,1,15.96401639,1,normal,0.969421238,-2.630992963,-0.825908804,-0.503599224,4.400368369,0.315379993,-2.137585411,0.038484808,,
DZA,Algeria,Africa,3/20/2020,3/9/2020,1734.940789,1,8.900847859,1,normal,0.80596988,-0.520808588,2.849645453,2.891229662,11.36466483,1.074965411,-3.262721175,0.077187567,,
ECU,Ecuador,South America,3/17/2020,3/8/2020,8271.394737,1,15.76164773,1,normal,0.734327736,-4.437938366,-2.823549409,-2.607184933,11.75285394,-0.404162561,-2.970336568,0.040112408,,
EGY,Egypt,Africa,3/14/2020,3/7/2020,33163.67763,0,9.184371826,1,normal,0.207534114,-2.480511717,-0.793924165,-0.778596429,55.7629382,0.061562049,-1.851321201,0.074978882,,
ESP,Spain,Europe,3/13/2020,3/8/2020,98868.53289,1,6.330838457,1,normal,1.026712147,-7.568846051,-3.601720981,-3.599028096,3.518277481,-0.435297387,-3.679571224,0.109433838,,
EST,Estonia,Europe,3/20/2020,3/10/2020,272.875,0,12.3833773,1,normal,0.63828687,-0.774871379,1.138026161,1.252085659,12.43116257,0.51082479,-1.651448933,0.053669377,,
ETH,Ethiopia,Africa,3/14/2020,3/11/2020,354.7368421,1,17.26766064,1,normal,0.770921034,-0.47095995,2.547281573,3.037953237,6.771017692,1.225308186,-2.856135502,0.035943767,,
FIN,Finland,Europe,3/13/2020,3/8/2020,3165.927632,1,3.187482626,1,normal,0.321457172,-3.910631123,-2.395222633,-2.395222247,12.93086907,-0.488488963,-1.666678668,0.217459084,,
FRA,France,Europe,3/14/2020,3/8/2020,59501.875,1,14.16751909,1,normal,1.096506955,-2.580559154,0.589541647,0.82083424,10.04119481,0.921844076,-4.170241412,0.046483513,,
GBR,United Kingdom,Europe,3/15/2020,3/2/2020,196267.6118,1,6.375377353,1,normal,0.601243321,-2.538141836,1.596112887,1.59980547,18.76391798,0.600541786,-3.288749875,0.108652533,,
GEO,Georgia,Europe,3/13/2020,3/9/2020,333.6118421,0,34.53234529,1,normal,0.965501681,0.352496332,4.187429833,35.99052324,3.948115096,13.99424412,-15.41561257,0.002959621,,
GEO,Georgia,Asia,3/13/2020,3/9/2020,333.6118421,0,34.53234529,1,normal,0.965501681,0.352496332,4.187429833,35.99052324,3.948115096,13.99424412,-15.41561257,0.002959621,,
GHA,Ghana,Africa,3/15/2020,3/10/2020,14196.50658,1,26.28375269,1,normal,0.995039818,-0.091602544,4.044709133,8.245923855,2.900074804,4.646888245,-7.313625432,0.015327603,,
GMB,Gambia,Africa,3/16/2020,3/10/2020,237.7302632,1,4.964617853,1,normal,0.496456501,-0.405657052,1.000619423,1.000779754,5.865452292,0.393090562,-1.518531677,0.139605948,,
GRC,Greece,Europe,3/28/2020,3/5/2020,2395.203947,0,6.875776162,1,normal,0.338862866,-1.928327643,-0.966787555,-0.961075305,12.80106409,-0.103098482,-1.383826773,0.100379939,,
GTM,Guatemala,North America,3/16/2020,3/9/2020,5004.940789,1,5.181130926,1,normal,0.817970562,-3.91836669,-1.487597621,-1.487180531,9.544299761,-0.177199852,-3.327234997,0.133766432,,
GUM,Guam,Oceania,3/20/2020,3/11/2020,276.9078947,1,5.661475281,1,normal,0.564392497,-2.394992343,-1.587529951,-1.587028151,3.178566575,-0.361714242,-0.973395088,0.122377395,,
HKG,NA,NA,3/18/2020,2/22/2020,1614.730263,0,9.454692727,1,normal,0.905253916,-0.762388832,0.674826663,0.695673153,3.809018051,0.548321155,-2.506365779,0.072553686,,
HND,Honduras,North America,3/15/2020,3/10/2020,3574.973684,1,19.55892925,1,normal,1.06716364,-3.486376514,-0.076594461,0.880775516,15.18973113,1.387487858,-4.862813471,0.029503205,,
HUN,Hungary,Europe,3/10/2020,3/7/2020,1137.092105,1,9.242855316,1,normal,0.601360748,-1.839575847,0.637821833,0.654944099,19.65698108,0.526901278,-2.724829646,0.074620805,,
IDN,Indonesia,Asia,3/18/2020,3/11/2020,155041.3355,1,13.49164923,1,normal,0.917239248,-1.239083042,2.088945682,2.340320928,10.53921773,1.383049683,-4.098569051,0.048726566,,
IMN,Isle of Man,Europe,3/16/2020,3/10/2020,284.1052632,0,2.759043211,1,normal,0.358330578,-0.931487415,0.797849577,0.797849657,9.927208689,0.327750666,-1.75991916,0.251227366,,
IND,India,Asia,3/26/2020,3/10/2020,144943.0197,1,1.864629991,1,normal,0.092474671,-3.278466426,-2.358964712,-2.358964712,23.67714666,-0.653329001,-1.206440547,0.371734437,,
IRL,Ireland,Europe,3/12/2020,2/25/2020,14840.57237,1,2.83380705,1,normal,0.746790282,-1.116094015,2.414612013,2.414612111,4.192711896,0.526662271,-2.931446432,0.244599281,,
IRN,Iran,Asia,2/22/2020,2/18/2020,6343.973684,1,6.839887948,1,normal,0.389833666,0.170840441,0.831619826,0.831726628,10.16160296,0.356282621,-1.208925199,0.101327153,,
IRQ,Iraq,Asia,2/28/2020,2/19/2020,7028.164474,1,3.793277476,1,normal,0.157566181,0.405781515,0.982117345,0.982117489,9.424303576,0.262982511,-0.795878263,0.182730386,,
ISL,Iceland,Europe,4/4/2020,2/26/2020,1120.769737,1,3.831583233,1,normal,0.460459425,-4.495873588,-2.678311296,-2.677952957,14.03103369,-0.386652198,-2.196447868,0.180877871,,
ISR,Israel,Asia,3/17/2020,3/3/2020,6421.203947,1,1.17837012,1,normal,0.049016057,0.908154071,1.465851366,1.465851366,13.87383116,0.378411296,-0.728739985,0.588225371,,
ITA,Italy,Europe,3/10/2020,2/20/2020,33028.875,1,21.14882541,1,normal,0.993200595,-2.654762243,-0.343177866,0.332412298,4.702497667,1.055523483,-3.252688097,0.027100543,,
JAM,Jamaica,North America,3/13/2020,3/9/2020,5369.236842,0,1.94592296,1,normal,0.193039579,-1.795732793,-0.065446144,-0.065446144,24.85515906,0.105328213,-1.884182693,0.356204842,,
JOR,Jordan,Asia,3/13/2020,3/9/2020,3690.598684,0,14.01335325,1,normal,0.599567404,-1.246904563,0.820128948,0.956000781,29.95342472,0.797823323,-2.854853581,0.047227983,,
JPN,Japan,Asia,3/30/2020,2/23/2020,216287.6513,1,15.71274354,1,normal,0.915186097,-4.092802326,0.716942348,2.169695244,1.883995858,1.244932519,-3.482899116,0.036267517,,
KAZ,Kazakhstan,Asia,3/17/2020,3/11/2020,706.2828947,1,22.87260544,1,normal,0.98632205,-1.983086037,3.138419828,6.227050446,9.48490424,2.916868159,-5.806819994,0.021194384,,
KEN,Kenya,Africa,3/25/2020,3/10/2020,13214.84868,1,10.5994825,1,normal,0.893624162,-0.721196511,4.168173363,4.37642542,6.709712894,2.111833455,-5.440345536,0.06344737,,
KGZ,Kyrgyzstan,Asia,3/19/2020,3/10/2020,457.1315789,0,22.46796756,1,normal,0.536109625,-2.121234783,-0.349155208,0.775663252,18.31350513,1.190158332,-2.939590052,0.021243559,,
KHM,Cambodia,Asia,3/18/2020,3/11/2020,544.4671053,1,7.513887071,1,normal,0.519155694,-1.065431033,1.112744709,1.121123881,19.14831191,0.572750556,-2.588018555,0.091993567,,
KOR,Korea,Asia,3/16/2020,2/18/2020,10305.51974,1,13.02831066,1,normal,0.673804893,-2.259635636,-1.157949944,-1.094500968,3.350954171,0.068428335,-1.066901417,0.051084248,,
KWT,Kuwait,Asia,2/27/2020,2/24/2020,18170.32237,1,15.09665013,1,normal,0.830631487,-1.543210539,4.395864209,4.634682563,30.69370133,0.897453721,-2.984561393,0.044621123,,
LBN,Lebanon,Asia,3/12/2020,3/5/2020,4784.565789,1,9.193866266,1,normal,0.545076623,0.81452308,3.052335221,3.069841694,22.81643964,1.272506754,-2.985251649,0.074969382,,
LBY,Libya,Africa,3/23/2020,3/10/2020,4846.914474,1,7.517270262,1,normal,0.453503089,-0.07109025,1.320804129,1.329400605,13.46470579,0.640664326,-1.763587938,0.091798398,,
LCA,Saint Lucia,North America,3/31/2020,3/9/2020,630.9671053,0,3.610377444,1,normal,0.479170989,-2.982626852,-1.525890885,-1.525815246,2.844739713,-0.16168299,-1.1261668,0.191980265,,
LKA,Sri Lanka,Asia,3/14/2020,3/9/2020,2229.493421,1,9.042801002,1,normal,0.539311053,-1.370741721,0.944814466,0.964087445,18.73325705,0.525546613,-2.497456695,0.076194462,,
LSO,Lesotho,Africa,3/14/2020,3/9/2020,655.1973684,1,9.261386109,1,normal,0.739595643,-0.925161964,2.378600742,2.410063213,5.293212507,0.777406729,-2.840169184,0.074332213,,
LUX,Luxembourg,Europe,3/20/2020,3/8/2020,330.3289474,1,11.7022546,1,normal,0.860293597,-1.811103482,0.338144436,0.438299993,4.026196357,0.458990343,-2.199302471,0.057308011,,
LVA,Latvia,Europe,3/15/2020,3/7/2020,845.4671053,0,2.384775584,1,normal,0.17409179,-1.028349942,-0.05269357,-0.052693568,10.90237116,0.035708941,-1.092805782,0.290655097,,
MAC,Macao,Asia,2/6/2020,1/20/2020,208.5065789,0,54.5,3,normal,0.890111132,-3.373672723,13.46327578,,31.52791574,,,,0.024115371,-1.330668348
MAR,Morocco,Africa,3/15/2020,3/9/2020,1393.980263,1,8.437719519,1,normal,0.802815603,-1.12689907,0.792385855,0.803957575,6.854402249,0.586205932,-2.840086063,0.081792972,,
MEX,Mexico,North America,3/17/2020,3/10/2020,79606.00658,1,18.11468511,1,normal,1.038200172,-2.990467615,-0.013314787,0.67779895,5.305194977,1.319552143,-4.592645263,0.032802589,,
MKD,Macedonia,Europe,3/12/2020,3/8/2020,556.1578947,0,14.6245414,1,normal,0.496161118,-2.0230947,-0.285990602,-0.156919455,10.71780297,0.257024342,-1.511422188,0.044989674,,
MLI,Mali,Africa,3/21/2020,3/13/2020,348.2828947,0,32.5,3,normal,0.485774109,-0.072275843,1.065811203,,7.828162478,,,,0.018773234,-0.593754622
MMR,Myanmar,Asia,3/15/2020,3/11/2020,577.8355263,0,35.5,3,normal,0.913595933,-0.804396097,1.658965482,,14.1768075,,,,0.035806509,-1.558830562
MNE,Montenegro,Europe,3/8/2020,2/23/2020,801.2828947,0,39,3,normal,0.707535634,0.192301685,1.204898578,,5.209715904,,,,0.020885823,-0.813937895
