,country,senti_bert,senti_bert_averageN,senti_bert_quan25,senti_bert_quan75,senti_bert_std_trend,senti_bert_std_trend_fitted_normal,senti_bert_std_trend_fitted_normal+ci,senti_bert_std_trend_fitted_normal-ci,tweet_date
0,AFG,73.00616352,448.2565789,66.6025,89.395,0.028350083,,,,2020-1-1
1,AFG,73.27521452,448.2565789,64.32,90.435,-0.083161438,,,,2020-1-2
2,AFG,67.1284507,448.2565789,53.3775,85.0575,-0.18215378,,,,2020-1-3
3,AFG,70.3417551,448.2565789,58.35,87.43,-0.274310487,,,,2020-1-4
4,AFG,66.00269231,448.2565789,51.7325,84.7625,-0.354486762,,,,2020-1-5
5,AFG,72.74446541,448.2565789,63.825,90.33,-0.374137746,,,,2020-1-6
6,AFG,73.38051948,448.2565789,60.89,92.5575,-0.209716298,,,,2020-1-7
7,AFG,68.94582697,448.2565789,55.96,87.68,-0.082190471,,,,2020-1-8
8,AFG,74.96974359,448.2565789,65.79,90.92,0.049661163,,,,2020-1-9
9,AFG,72.54652038,448.2565789,60.895,90.545,0.201779508,,,,2020-1-10
10,AFG,69.009653,448.2565789,58.08,87.82,0.361127116,,,,2020-1-11
11,AFG,71.12738602,448.2565789,60.24,89.47,0.393368533,,,,2020-1-12
12,AFG,72.74208791,448.2565789,61.76,90.72,0.263849104,,,,2020-1-13
13,AFG,75.77465347,448.2565789,68.355,90.51,0.161863845,,,,2020-1-14
14,AFG,71.33926641,448.2565789,61.015,87.59,0.140194014,,,,2020-1-15
15,AFG,69.07567347,448.2565789,57.55,87.01,0.10892576,,,,2020-1-16
16,AFG,72.45431655,448.2565789,63.7875,89.4475,0.008712712,,,,2020-1-17
17,AFG,70.80060423,448.2565789,62.16,87.45,-0.070746486,,,,2020-1-18
18,AFG,72.46851563,448.2565789,64.49,87.5775,-0.028757608,,,,2020-1-19
19,AFG,68.99579545,448.2565789,57.1125,87.6125,0.047927463,,,,2020-1-20
20,AFG,71.88047337,448.2565789,60.0425,90.2275,0.096352927,,,,2020-1-21
21,AFG,74.18473868,448.2565789,62.82,89.685,0.145282217,,,,2020-1-22
22,AFG,69.60879257,448.2565789,58.69,84.51,0.190155232,,,,2020-1-23
23,AFG,74.27174497,448.2565789,64.605,89.915,0.223192421,,,,2020-1-24
24,AFG,72.57811024,448.2565789,63.61,88.3,0.196326632,,,,2020-1-25
25,AFG,70.48969349,448.2565789,61.07,90.8,0.068966977,,,,2020-1-26
26,AFG,69.45237164,448.2565789,56.63,88.68,-0.108509684,,,,2020-1-27
27,AFG,73.56918239,448.2565789,62.815,90.4325,-0.34762542,,,,2020-1-28
28,AFG,69.79859873,448.2565789,59.645,88.535,-0.526971212,,,,2020-1-29
29,AFG,70.12895652,448.2565789,58.62,88.76,-0.596323879,,,,2020-1-30
30,AFG,68.41769231,448.2565789,53.7925,86.9675,-0.64495803,,,,2020-1-31
31,AFG,69.66594427,448.2565789,55.31,89.715,-0.725059247,,,,2020-2-1
32,AFG,70.15946809,448.2565789,57.81,87.655,-0.774817164,,,,2020-2-2
33,AFG,70.04709459,448.2565789,57.71,86.935,-0.775210964,,,,2020-2-3
34,AFG,69.64985663,448.2565789,56.225,88.56,-0.760827704,,,,2020-2-4
35,AFG,69.49154122,448.2565789,52.45,88.46,-0.772746084,,,,2020-2-5
36,AFG,71.01735409,448.2565789,62.14,88.25,-0.774170993,,,,2020-2-6
37,AFG,68.9221875,448.2565789,54.86,88.0625,-0.699808593,,,,2020-2-7
38,AFG,70.31652174,448.2565789,61.79,87.48,-0.601396479,,,,2020-2-8
39,AFG,67.71202899,448.2565789,55.67,85.78,-0.509747709,,,,2020-2-9
40,AFG,72.47052632,448.2565789,64.35,89.2,-0.439462192,,,,2020-2-10
41,AFG,70.20806962,448.2565789,58.825,87.475,-0.407357278,,,,2020-2-11
42,AFG,72.11913889,448.2565789,60.745,87.6275,-0.480892244,,,,2020-2-12
43,AFG,71.5552439,448.2565789,61.3325,89.7825,-0.640658412,,,,2020-2-13
44,AFG,69.63,448.2565789,58.16,87.78,-0.753275408,,,,2020-2-14
45,AFG,68.75189474,448.2565789,56.48,87.05,-0.743511849,,,,2020-2-15
46,AFG,63.96144118,448.2565789,46.4725,87.615,-0.655968327,,,,2020-2-16
47,AFG,72.11292208,448.2565789,62.2225,89.39,-0.49026027,,,,2020-2-17
48,AFG,72.74665263,448.2565789,61.285,90.275,-0.192296048,,,,2020-2-18
49,AFG,73.17925729,448.2565789,63.93,90.52,0.199084726,,,,2020-2-19
50,AFG,72.49214286,448.2565789,61.5625,88.175,0.533514914,,,,2020-2-20
51,AFG,73.22132231,448.2565789,62.7675,90.66,0.678703258,,,,2020-2-21
52,AFG,73.80574822,448.2565789,63.45,89.56,0.680022947,,,,2020-2-22
53,AFG,71.42624378,448.2565789,59.9325,88.57,0.592117438,,,,2020-2-23
54,AFG,73.883,448.2565789,63.8875,89.705,0.418229041,,,,2020-2-24
55,AFG,72.34281525,448.2565789,62.16,90.98,0.206404544,,,,2020-2-25
56,AFG,71.50623762,448.2565789,60.915,86.915,0.045809336,,,,2020-2-26
57,AFG,70.19346749,448.2565789,55.555,90.785,-0.056174267,,,,2020-2-27
58,AFG,70.15786492,448.2565789,57.555,87.7,-0.139109004,,,,2020-2-28
59,AFG,71.44944573,448.2565789,58.66,89.02,-0.190105308,,,,2020-2-29
60,AFG,70.89609195,448.2565789,60.605,87.53,-0.188993413,,,,2020-3-1
61,AFG,71.69457338,448.2565789,61.93,88.55,-0.174548216,,,,2020-3-2
62,AFG,71.43807818,448.2565789,59.545,88.925,-0.285888663,,,,2020-3-3
