,Nation,Quality
0,AFG,1
1,AGO,1
2,ALB,0
3,ARE,0
4,ARG,1
5,AUS,1
6,AUT,1
7,AZE,0
8,BEL,1
9,BEN,0
10,BGD,0
11,BGR,1
12,BHR,0
13,BIH,1
14,BLR,1
15,BOL,1
16,BRA,1
17,BRB,0
18,BRN,1
19,BWA,1
20,CAN,1
21,CHE,1
22,CHL,1
23,CHN,1
24,CIV,0
25,CMR,1
26,COD,1
27,COL,1
28,CRI,0
29,CUB,1
30,CYP,1
31,CZE,1
32,DEU,1
33,DNK,1
34,DOM,1
35,DZA,1
36,ECU,1
37,EGY,0
38,ESP,1
39,EST,0
40,ETH,1
41,FIN,1
42,FRA,1
43,GBR,1
44,GEO,0
45,GHA,1
46,GMB,1
47,GRC,0
48,GTM,1
49,GUM,1
50,HKG,0
51,HND,1
52,HUN,1
53,IDN,1
54,IMN,0
55,IND,1
56,IRL,1
57,IRN,1
58,IRQ,1
59,ISL,1
60,ISR,1
61,ITA,1
62,JAM,0
63,JOR,0
64,JPN,1
65,KAZ,1
66,KEN,1
67,KGZ,0
68,KHM,1
69,KOR,1
70,KWT,1
71,LBN,1
72,LBY,1
73,LCA,0
74,LKA,1
75,LSO,1
76,LUX,1
77,LVA,0
78,MAC,0
79,MAR,1
80,MEX,1
81,MKD,0
82,MLI,0
83,MMR,0
84,MNE,0
85,MNG,1
86,MOZ,0
87,MTQ,0
88,MUS,0
89,MWI,0
90,MYS,1
91,NAM,1
92,NGA,0
93,NIC,1
94,NLD,1
95,NOR,1
96,NPL,1
97,NZL,1
98,OMN,1
99,PAK,1
100,PAN,1
101,PER,1
102,PHL,0
103,POL,1
104,PRI,1
105,PRT,1
106,PRY,1
107,QAT,0
108,ROU,1
109,RUS,1
110,RWA,1
111,SAU,0
112,SDN,1
113,SEN,0
114,SGP,1
115,SLE,0
116,SLV,0
117,SOM,0
118,SRB,1
119,SVK,1
120,SVN,0
121,SWE,1
122,SWZ,1
123,SYR,0
124,THA,0
125,TTO,1
126,TUN,1
127,TUR,1
128,TWN,0
129,TZA,1
130,UGA,1
131,UKR,1
132,URY,1
133,USA,1
134,UZB,1
135,VEN,1
136,VIR,1
137,VNM,1
138,XKO,0
139,YEM,0
140,ZAF,1
141,ZMB,0
