,Nation,drop_senti_bert,drop_senti_bert_quan25,drop_senti_bert_quan75,min_senti_bert,min_senti_bert_quan25,min_senti_bert_quan75,senti_bert_averageN,min_senti_bert_std,min_senti_bert_quan25_std,min_senti_bert_quan75_std
1,AFG,2020-3-10,2020-3-10,2020-3-10,2020-3-13,2020-3-13,2020-3-13,448.2565789,2020-3-13,2020-3-14,2020-3-13
2,AGO,2020-3-11,2020-3-11,2020-3-11,2020-3-23,2020-3-23,2020-3-21,817.0131579,2020-3-23,2020-3-23,2020-3-20
3,ALB,2020-3-7,2020-3-7,2020-3-7,2020-3-25,2020-3-25,2020-3-17,288.1381579,2020-3-25,2020-3-24,2020-3-17
4,ARE,2020-3-7,2020-3-7,2020-3-7,2020-3-15,2020-3-15,2020-3-24,17878.04605,2020-3-15,2020-3-15,2020-3-24
5,ARG,2020-3-10,2020-3-10,2020-3-10,2020-3-15,2020-3-15,2020-3-19,104898.3026,2020-3-16,2020-3-15,2020-3-17
6,AUS,2020-3-1,2020-3-1,2020-3-1,2020-3-15,2020-3-15,2020-3-15,25690.21711,2020-3-15,2020-3-15,2020-3-15
7,AUT,2020-3-8,2020-3-8,2020-3-8,2020-3-13,2020-3-13,2020-3-15,2763.368421,2020-3-14,2020-3-13,2020-3-14
8,AZE,2020-3-9,2020-3-9,2020-3-9,2020-3-31,2020-4-1,2020-4-1,1230.565789,2020-4-1,2020-4-1,2020-4-1
9,BEL,2020-2-26,2020-2-26,2020-2-26,2020-3-13,2020-3-13,2020-3-14,8369.210526,2020-3-13,2020-3-13,2020-3-13
10,BEN,2020-3-11,2020-3-11,2020-3-11,2020-3-3,2020-3-3,2020-3-3,352.2894737,2020-3-3,2020-3-3,2020-3-14
11,BGD,2020-3-11,2020-3-11,2020-3-11,2020-3-22,2020-3-22,2020-4-17,2331.815789,2020-3-22,2020-3-22,2020-4-17
12,BGR,2020-3-7,2020-3-7,2020-3-7,2020-3-13,2020-3-13,2020-3-12,748.9144737,2020-3-12,2020-3-12,2020-2-27
13,BHR,2020-3-6,2020-3-6,2020-3-6,2020-3-12,2020-3-12,2020-3-12,5066.736842,2020-3-13,2020-3-12,2020-2-26
14,BIH,2020-3-8,2020-3-8,2020-3-8,2020-3-21,2020-3-21,2020-3-21,1619.625,2020-3-21,2020-3-21,2020-3-21
15,BLR,2020-3-10,2020-3-10,2020-3-10,2020-3-17,2020-3-17,2020-3-17,1555.065789,2020-3-17,2020-3-17,2020-3-18
16,BOL,2020-3-10,2020-3-10,2020-3-10,2020-3-14,2020-3-14,2020-3-14,1385.440789,2020-3-13,2020-3-14,2020-3-14
17,BRA,2020-3-11,2020-3-11,2020-3-11,2020-3-15,2020-3-14,2020-3-15,678970.4803,2020-3-15,2020-3-15,2020-3-15
18,BRB,2020-3-10,2020-3-10,2020-3-10,2020-3-31,2020-3-12,2020-3-31,1477.046053,2020-4-2,2020-3-13,2020-3-31
19,BRN,2020-3-8,2020-3-8,2020-3-8,2020-3-13,2020-3-15,2020-3-13,383.0197368,2020-3-13,2020-3-3,2020-3-13
20,BWA,2020-3-14,2020-3-14,2020-3-14,2020-3-25,2020-3-25,2020-3-25,3500.532895,2020-3-25,2020-3-25,2020-3-24
21,CAN,2020-3-8,2020-3-8,2020-3-8,2020-3-15,2020-3-15,2020-3-14,54848.81579,2020-3-14,2020-3-14,2020-3-14
22,CHE,2020-2-23,2020-2-23,2020-2-23,2020-3-15,2020-3-15,2020-3-15,4273.559211,2020-3-15,2020-3-14,2020-3-15
23,CHL,2020-3-11,2020-3-11,2020-3-11,2020-3-18,2020-3-18,2020-3-18,31548.21711,2020-3-18,2020-3-18,2020-3-18
24,CHN,2020-1-20,2020-1-20,2020-1-20,2020-1-29,2020-1-29,2020-1-29,295819.2171,2020-1-29,2020-1-29,2020-1-30
25,CIV,2020-3-10,2020-3-10,2020-3-10,2020-3-15,2020-3-15,2020-3-21,2050.934211,2020-3-16,2020-3-16,2020-3-2
26,CMR,2020-3-11,2020-3-11,2020-3-11,2020-3-20,2020-3-20,2020-3-20,3068.394737,2020-3-20,2020-3-20,2020-3-20
27,COD,2020-3-9,2020-3-9,2020-3-9,2020-3-21,2020-3-21,2020-3-25,1116.348684,2020-3-20,2020-3-17,2020-3-26
