"","countryname","countrycode","date_sah_min","date_sah_max","date_sah_noexep_min","date_sah_noexep_max","date_sah_sub_min","date_sah_rec_min","flag_sah_all","flag_sah_noexep","flag_sah_no_rec_first","flag_say_no_sub_first","flag_sah_no_rec_no_sub_first"
"1","Afghanistan","AFG",NA,NA,NA,NA,2020-03-25,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"2","Albania","ALB",2020-03-13,2020-05-31,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"3","Algeria","DZA",2020-04-01,2020-05-31,NA,NA,2020-03-23,NA,TRUE,FALSE,TRUE,FALSE,FALSE
"4","Andorra","AND",NA,NA,NA,NA,NA,2020-03-13,FALSE,FALSE,FALSE,FALSE,FALSE
"5","Angola","AGO",2020-03-27,2020-05-25,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"6","Anguilla","AIA",2020-03-27,2020-04-28,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"7","Argentina","ARG",2020-03-19,2020-05-31,2020-03-19,2020-04-26,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"8","Aruba","ABW",2020-03-21,2020-05-27,2020-03-29,2020-04-13,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"9","Australia","AUS",2020-03-24,2020-04-01,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"10","Austria","AUT",2020-03-16,2020-04-30,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"11","Azerbaijan","AZE",2020-03-24,2020-05-17,2020-03-24,2020-05-17,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"12","Bahrain","BHR",NA,NA,NA,NA,NA,2020-03-18,FALSE,FALSE,FALSE,FALSE,FALSE
"13","Bangladesh","BGD",2020-03-25,2020-05-30,2020-03-25,2020-04-09,2020-03-19,NA,TRUE,TRUE,TRUE,FALSE,FALSE
"14","Barbados","BRB",2020-03-28,2020-05-31,2020-04-03,2020-05-03,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"15","Belarus","BLR",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"16","Belgium","BEL",2020-03-18,2020-05-31,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"17","Belize","BLZ",2020-04-01,2020-05-31,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"18","Benin","BEN",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"19","Bermuda","BMU",2020-04-04,2020-05-01,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"20","Bhutan","BTN",NA,NA,NA,NA,NA,2020-03-26,FALSE,FALSE,FALSE,FALSE,FALSE
"21","Bolivia","BOL",2020-03-17,2020-05-31,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"22","Bosnia and Herzegovina","BIH",2020-03-17,2020-05-13,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"23","Botswana","BWA",2020-04-02,2020-05-19,2020-04-02,2020-05-19,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"24","Brazil","BRA",NA,NA,NA,NA,NA,2020-03-13,FALSE,FALSE,FALSE,FALSE,FALSE
"25","British Virgin Islands","VGB",2020-03-25,2020-05-31,2020-03-27,2020-04-26,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"26","Brunei","BRN",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"27","Bulgaria","BGR",NA,NA,NA,NA,2020-03-18,2020-04-01,FALSE,FALSE,FALSE,FALSE,FALSE
"28","Burkina Faso","BFA",2020-03-21,2020-05-31,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"29","Burundi","BDI",2020-03-05,2020-05-31,2020-03-05,2020-05-31,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"30","Cambodia","KHM",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"31","Cameroon","CMR",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"32","Canada","CAN",2020-03-23,2020-05-31,2020-03-23,2020-05-31,2020-03-14,NA,TRUE,TRUE,TRUE,FALSE,FALSE
"33","Cape Verde","CPV",2020-03-27,2020-05-31,NA,NA,2020-03-20,NA,TRUE,FALSE,TRUE,FALSE,FALSE
"34","Cayman Islands","CYM",2020-03-24,2020-05-04,2020-03-25,2020-05-04,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"35","Central African Republic","CAF",2020-05-08,2020-05-31,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"36","Chad","TCD",NA,NA,NA,NA,2020-04-02,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"37","Chile","CHL",2020-03-22,2020-03-21,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"38","China","CHN",NA,NA,NA,NA,2020-01-23,2020-01-23,FALSE,FALSE,FALSE,FALSE,FALSE
"39","Colombia","COL",2020-03-25,2020-05-31,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"40","Congo","COG",2020-03-28,2020-05-31,2020-03-28,2020-05-17,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"41","Costa Rica","CRI",NA,NA,NA,NA,NA,2020-04-01,FALSE,FALSE,FALSE,FALSE,FALSE
"42","Cote d'Ivoire","CIV",2020-03-24,2020-05-31,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"43","Croatia","HRV",2020-03-23,2020-05-10,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"44","Cuba","CUB",2020-04-26,2020-05-31,2020-05-11,2020-05-31,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"45","Cyprus","CYP",2020-03-24,2020-05-20,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"46","Czech Republic","CZE",2020-03-15,2020-04-20,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"47","Democratic Republic of Congo","COD",NA,NA,NA,NA,2020-04-06,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"48","Denmark","DNK",NA,NA,NA,NA,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE
"49","Djibouti","DJI",2020-03-23,2020-05-16,2020-03-23,2020-05-16,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"50","Dominica","DMA",2020-03-28,2020-05-11,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
"51","Dominican Republic","DOM",2020-03-20,2020-05-31,2020-04-28,2020-05-17,NA,NA,TRUE,TRUE,TRUE,TRUE,TRUE
"52","Ecuador","ECU",2020-03-17,2020-05-31,NA,NA,NA,NA,TRUE,FALSE,TRUE,TRUE,TRUE
